"year","month","total","field"
2021,"January",22502,"ENVI"
2021,"January",3781,"HEAL"
2021,"January",7691,"IMMU"
2021,"January",29335,"MATE"
2021,"January",11043,"MATH"
2021,"January",69978,"MEDI"
2021,"January",8018,"NEUR"
2021,"January",4866,"NURS"
2021,"January",9250,"PHAR"
2021,"January",30896,"PHYS"
2021,"January",6029,"PSYC"
2021,"January",22237,"SOCI"
2021,"January",2165,"VETE"
2021,"January",3457,"MULT"
2021,"February",16965,"AGRI"
2021,"February",4945,"ARTS"
2021,"February",26204,"BIOC"
2021,"February",3690,"BUSI"
2021,"February",15130,"CENG"
2021,"February",23330,"CHEM"
2021,"February",16388,"COMP"
2021,"February",2130,"DECI"
2021,"February",1192,"DENT"
2021,"February",12945,"EART"
2021,"February",2596,"ECON"
2021,"February",11313,"ENER"
2021,"February",35473,"ENGI"
2021,"February",21830,"ENVI"
2021,"February",2726,"HEAL"
2021,"February",7195,"IMMU"
2021,"February",24441,"MATE"
2021,"February",10822,"MATH"
2021,"February",58609,"MEDI"
2021,"February",6221,"NEUR"
2021,"February",4010,"NURS"
2021,"February",7171,"PHAR"
2021,"February",28653,"PHYS"
2021,"February",4660,"PSYC"
2021,"February",13598,"SOCI"
2021,"February",1649,"VETE"
2021,"February",3663,"MULT"
2021,"March",18820,"AGRI"
2021,"March",8982,"ARTS"
2021,"March",27579,"BIOC"
2021,"March",5522,"BUSI"
2021,"March",13817,"CENG"
2021,"March",22834,"CHEM"
2021,"March",23370,"COMP"
2021,"March",5032,"DECI"
2021,"March",1361,"DENT"
2021,"March",16137,"EART"
2021,"March",4583,"ECON"
2021,"March",12370,"ENER"
2021,"March",37095,"ENGI"
2021,"March",23555,"ENVI"
2021,"March",3525,"HEAL"
2021,"March",7758,"IMMU"
2021,"March",24276,"MATE"
2021,"March",12124,"MATH"
2021,"March",66241,"MEDI"
2021,"March",6271,"NEUR"
2021,"March",4887,"NURS"
2021,"March",8157,"PHAR"
2021,"March",30049,"PHYS"
2021,"March",5796,"PSYC"
2021,"March",21877,"SOCI"
2021,"March",2424,"VETE"
2021,"March",4121,"MULT"
2021,"April",16692,"AGRI"
2021,"April",6521,"ARTS"
2021,"April",25780,"BIOC"
2021,"April",5069,"BUSI"
2021,"April",13364,"CENG"
2021,"April",21444,"CHEM"
2021,"April",21697,"COMP"
2021,"April",3762,"DECI"
2021,"April",1498,"DENT"
2021,"April",13515,"EART"
2021,"April",3292,"ECON"
2021,"April",11400,"ENER"
2021,"April",37660,"ENGI"
2021,"April",20482,"ENVI"
2021,"April",3005,"HEAL"
2021,"April",6994,"IMMU"
2021,"April",22889,"MATE"
2021,"April",13843,"MATH"
2021,"April",64901,"MEDI"
2021,"April",6261,"NEUR"
2021,"April",4791,"NURS"
2021,"April",7461,"PHAR"
2021,"April",28145,"PHYS"
2021,"April",5065,"PSYC"
2021,"April",16347,"SOCI"
2021,"April",1782,"VETE"
2021,"April",4652,"MULT"
2021,"May",15086,"AGRI"
2021,"May",6041,"ARTS"
2021,"May",25225,"BIOC"
2021,"May",4325,"BUSI"
2021,"May",12281,"CENG"
2021,"May",20838,"CHEM"
2021,"May",26218,"COMP"
2021,"May",3589,"DECI"
2021,"May",1100,"DENT"
2021,"May",14190,"EART"
2021,"May",3091,"ECON"
2021,"May",13011,"ENER"
2021,"May",36777,"ENGI"
2021,"May",21336,"ENVI"
2021,"May",2502,"HEAL"
2021,"May",6666,"IMMU"
2021,"May",23233,"MATE"
2021,"May",12344,"MATH"
2021,"May",58314,"MEDI"
2021,"May",6116,"NEUR"
2021,"May",4169,"NURS"
2021,"May",6708,"PHAR"
2021,"May",29828,"PHYS"
2021,"May",4496,"PSYC"
2021,"May",14375,"SOCI"
2021,"May",1813,"VETE"
2021,"May",3448,"MULT"
2021,"June",19668,"AGRI"
2021,"June",9874,"ARTS"
2021,"June",28795,"BIOC"
2021,"June",4929,"BUSI"
2021,"June",14210,"CENG"
2021,"June",21454,"CHEM"
2021,"June",29491,"COMP"
2021,"June",5392,"DECI"
2021,"June",1633,"DENT"
2021,"June",14844,"EART"
2021,"June",4278,"ECON"
2021,"June",13741,"ENER"
2021,"June",44016,"ENGI"
2021,"June",22927,"ENVI"
2021,"June",3440,"HEAL"
2021,"June",8587,"IMMU"
2021,"June",24440,"MATE"
2021,"June",15982,"MATH"
2021,"June",69193,"MEDI"
2021,"June",7401,"NEUR"
2021,"June",5014,"NURS"
2021,"June",8409,"PHAR"
2021,"June",29486,"PHYS"
2021,"June",5849,"PSYC"
2021,"June",22650,"SOCI"
2021,"June",2292,"VETE"
2021,"June",4037,"MULT"
2021,"July",16388,"AGRI"
2021,"July",6201,"ARTS"
2021,"July",27530,"BIOC"
2021,"July",3702,"BUSI"
2021,"July",12875,"CENG"
2021,"July",20331,"CHEM"
2021,"July",27548,"COMP"
2021,"July",2979,"DECI"
2021,"July",1217,"DENT"
2021,"July",11188,"EART"
2021,"July",3536,"ECON"
2021,"July",10173,"ENER"
2021,"July",35888,"ENGI"
2021,"July",17860,"ENVI"
2021,"July",3232,"HEAL"
2021,"July",7439,"IMMU"
2021,"July",22209,"MATE"
2021,"July",15096,"MATH"
2021,"July",63286,"MEDI"
2021,"July",6571,"NEUR"
2021,"July",4862,"NURS"
2021,"July",7378,"PHAR"
2021,"July",27729,"PHYS"
2021,"July",5211,"PSYC"
2021,"July",17087,"SOCI"
2021,"July",2173,"VETE"
2021,"July",3867,"MULT"
2021,"August",17041,"AGRI"
2021,"August",4740,"ARTS"
2021,"August",27047,"BIOC"
2021,"August",4014,"BUSI"
2021,"August",14328,"CENG"
2021,"August",21796,"CHEM"
2021,"August",24066,"COMP"
2021,"August",4196,"DECI"
2021,"August",1063,"DENT"
2021,"August",10573,"EART"
2021,"August",2762,"ECON"
2021,"August",11941,"ENER"
2021,"August",36979,"ENGI"
2021,"August",19356,"ENVI"
2021,"August",2658,"HEAL"
2021,"August",7495,"IMMU"
2021,"August",22243,"MATE"
2021,"August",11586,"MATH"
2021,"August",59957,"MEDI"
2021,"August",6872,"NEUR"
2021,"August",4132,"NURS"
2021,"August",7347,"PHAR"
2021,"August",28221,"PHYS"
2021,"August",4846,"PSYC"
2021,"August",14914,"SOCI"
2021,"August",1712,"VETE"
2021,"August",3554,"MULT"
2021,"September",18889,"AGRI"
2021,"September",6998,"ARTS"
2021,"September",28232,"BIOC"
2021,"September",5206,"BUSI"
2021,"September",14424,"CENG"
2021,"September",23148,"CHEM"
2021,"September",24098,"COMP"
2021,"September",4310,"DECI"
2021,"September",1400,"DENT"
2021,"September",11045,"EART"
2021,"September",4090,"ECON"
2021,"September",12473,"ENER"
2021,"September",40077,"ENGI"
2021,"September",19903,"ENVI"
2021,"September",3416,"HEAL"
2021,"September",8245,"IMMU"
2021,"September",25772,"MATE"
2021,"September",13065,"MATH"
2021,"September",68043,"MEDI"
2021,"September",7200,"NEUR"
2021,"September",5099,"NURS"
2021,"September",8126,"PHAR"
2021,"September",27443,"PHYS"
2021,"September",5812,"PSYC"
2021,"September",18947,"SOCI"
2021,"September",2313,"VETE"
2021,"September",3628,"MULT"
2021,"October",17493,"AGRI"
2021,"October",4317,"ARTS"
2021,"October",26510,"BIOC"
2021,"October",5361,"BUSI"
2021,"October",14687,"CENG"
2021,"October",22349,"CHEM"
2021,"October",19313,"COMP"
2021,"October",3244,"DECI"
2021,"October",1377,"DENT"
2021,"October",12819,"EART"
2021,"October",3298,"ECON"
2021,"October",10810,"ENER"
2021,"October",35671,"ENGI"
2021,"October",21495,"ENVI"
2021,"October",3117,"HEAL"
2021,"October",7522,"IMMU"
2021,"October",23454,"MATE"
2021,"October",11517,"MATH"
2021,"October",62743,"MEDI"
2021,"October",6863,"NEUR"
2021,"October",4805,"NURS"
2021,"October",8041,"PHAR"
2021,"October",26244,"PHYS"
2021,"October",4837,"PSYC"
2021,"October",14331,"SOCI"
2021,"October",1819,"VETE"
2021,"October",3371,"MULT"
2021,"November",16783,"AGRI"
2021,"November",4124,"ARTS"
2021,"November",28490,"BIOC"
2021,"November",3915,"BUSI"
2021,"November",14424,"CENG"
2021,"November",23167,"CHEM"
2021,"November",16244,"COMP"
2021,"November",1681,"DECI"
2021,"November",1056,"DENT"
2021,"November",12896,"EART"
2021,"November",2895,"ECON"
2021,"November",10618,"ENER"
2021,"November",30544,"ENGI"
2021,"November",20119,"ENVI"
2021,"November",2917,"HEAL"
2021,"November",7435,"IMMU"
2021,"November",24432,"MATE"
2021,"November",10040,"MATH"
2021,"November",63156,"MEDI"
2021,"November",6487,"NEUR"
2021,"November",4762,"NURS"
2021,"November",7882,"PHAR"
2021,"November",30307,"PHYS"
2021,"November",4400,"PSYC"
2021,"November",13552,"SOCI"
2021,"November",2185,"VETE"
2021,"November",3457,"MULT"
2021,"December",25746,"AGRI"
2021,"December",8838,"ARTS"
2021,"December",52421,"BIOC"
2021,"December",5371,"BUSI"
2021,"December",17505,"CENG"
2021,"December",32719,"CHEM"
2021,"December",20881,"COMP"
2021,"December",2737,"DECI"
2021,"December",2372,"DENT"
2021,"December",14698,"EART"
2021,"December",5259,"ECON"
2021,"December",11865,"ENER"
2021,"December",42322,"ENGI"
2021,"December",26087,"ENVI"
2021,"December",4984,"HEAL"
2021,"December",13762,"IMMU"
2021,"December",28981,"MATE"
2021,"December",16088,"MATH"
2021,"December",115603,"MEDI"
2021,"December",10751,"NEUR"
2021,"December",6791,"NURS"
2021,"December",9996,"PHAR"
2021,"December",38358,"PHYS"
2021,"December",6691,"PSYC"
2021,"December",23263,"SOCI"
2021,"December",2892,"VETE"
2021,"December",27747,"MULT"
2022,"January",14187,"AGRI"
2022,"January",2293,"ARTS"
2022,"January",24915,"BIOC"
2022,"January",3996,"BUSI"
2022,"January",14529,"CENG"
2022,"January",23254,"CHEM"
2022,"January",13103,"COMP"
2022,"January",1301,"DECI"
2022,"January",1124,"DENT"
2022,"January",8823,"EART"
2022,"January",2828,"ECON"
2022,"January",9915,"ENER"
2022,"January",29530,"ENGI"
2022,"January",18521,"ENVI"
2022,"January",2699,"HEAL"
2022,"January",6631,"IMMU"
2022,"January",22082,"MATE"
2022,"January",8356,"MATH"
2022,"January",53444,"MEDI"
2022,"January",5634,"NEUR"
2022,"January",4370,"NURS"
2022,"January",7383,"PHAR"
2022,"January",22349,"PHYS"
2022,"January",3987,"PSYC"
2022,"January",10448,"SOCI"
2022,"January",1678,"VETE"
2022,"January",3059,"MULT"
